Year,Source,Product Name,Country Name,Volume (kg),Value (USD),Edible code
2023,REX,GROUNDFISH COD NSPF FILLET FROZEN,CANADA,"57,842","340,325",E
2020,REX,GROUNDFISH COD NSPF FILLET FROZEN,CANADA,"139,088","970,265",E
2020,REX,GROUNDFISH COD NSPF FILLET FROZEN,CHINA,"33,504","110,000",E
2023,REX,GROUNDFISH COD NSPF FILLET FROZEN,CANADA,"25,300","135,423",E
2023,REX,GROUNDFISH COD NSPF FILLET FROZEN,CANADA,"1,982","16,596",E
2011,EXP,GROUNDFISH COD NSPF FROZEN,DENMARK,"3,000,800","11,690,658",E
2011,EXP,GROUNDFISH COD NSPF FROZEN,GERMANY,"1,667,873","6,308,716",E
2010,EXP,GROUNDFISH COD NSPF FRESH,JAPAN,"397,707","1,329,386",E
2010,EXP,GROUNDFISH HADDOCK FRESH,CANADA,"183,194","292,915",E
2010,EXP,GROUNDFISH COD NSPF FILLET FROZEN,JAPAN,"1,433,844","5,344,041",E
2010,EXP,GROUNDFISH COD NSPF FROZEN,SPAIN,"836,206","2,996,076",E
2010,EXP,GROUNDFISH COD NSPF FROZEN,PORTUGAL,"5,820,939","17,518,449",E
2010,EXP,GROUNDFISH COD NSPF FROZEN,JAPAN,"2,594,709","6,160,216",E
2010,EXP,GROUNDFISH COD NSPF FROZEN,NORWAY,"2,753,837","9,815,528",E
2011,EXP,GROUNDFISH COD NSPF FROZEN,SOUTH KOREA,"24,393","75,172",E
2011,EXP,GROUNDFISH COD NSPF FROZEN,CHINA - HONG KONG,"268,893","628,030",E
2011,EXP,GROUNDFISH COD NSPF FILLET FROZEN,BERMUDA,"10,489","93,159",E
2011,EXP,GROUNDFISH COD NSPF FILLET FROZEN,SOUTH KOREA,"1,191,628","3,291,667",E
2011,EXP,GROUNDFISH COD NSPF FILLET FROZEN,BAHAMAS,"20,923","104,983",E
2010,EXP,GROUNDFISH COD NSPF FILLET FROZEN,CANADA,"79,515","317,762",E
2010,EXP,GROUNDFISH COD NSPF FILLET FROZEN,CANADA,"38,272","238,747",E
2012,EXP,GROUNDFISH COD NSPF FILLET FROZEN,CANADA,"27,891","234,394",E
2010,EXP,GROUNDFISH COD NSPF FROZEN,CHINA - HONG KONG,"33,289","77,060",E
2012,EXP,GROUNDFISH COD NSPF FRESH,CANADA,"367,797","1,531,102",E
2012,EXP,GROUNDFISH COD NSPF FRESH,JAPAN,"1,329,922","4,491,000",E
2014,EXP,GROUNDFISH COD NSPF FILLET FROZEN,CANADA,"588,155","3,823,376",E
2014,EXP,GROUNDFISH COD NSPF FILLET FROZEN,PORTUGAL,"79,894","308,088",E
2014,EXP,GROUNDFISH COD NSPF FILLET FROZEN,SOUTH KOREA,"60,242","228,561",E
2014,EXP,GROUNDFISH COD NSPF FILLET FROZEN,AUSTRALIA,"2,131","6,995",E
2012,EXP,GROUNDFISH COD NSPF FROZEN,NETHERLANDS,"1,312,580","4,555,007",E
2011,EXP,GROUNDFISH COD NSPF FROZEN,CANADA,"50,555","187,935",E
2011,EXP,GROUNDFISH COD NSPF FROZEN,NORWAY,"22,524","92,565",E
2014,EXP,GROUNDFISH COD NSPF FRESH,CANADA,"101,549","390,983",E
2011,EXP,GROUNDFISH COD NSPF FILLET FROZEN,TAIWAN,"8,474","27,820",E
2014,EXP,GROUNDFISH COD NSPF FROZEN,PHILIPPINES,"45,775","105,964",E
2011,EXP,GROUNDFISH COD NSPF FILLET FROZEN,NETHERLANDS,"21,330","56,430",E
2012,EXP,GROUNDFISH COD NSPF FRESH,MEXICO,"35,450","95,138",E
2014,EXP,GROUNDFISH COD NSPF FROZEN,PERU,"23,115","69,488",E
2012,EXP,GROUNDFISH COD NSPF FRESH,CANADA,"2,651","23,488",E
2012,EXP,GROUNDFISH COD NSPF FROZEN,PANAMA,"1,119","2,590",E
2012,EXP,GROUNDFISH COD NSPF FROZEN,PORTUGAL,"2,562,528","9,234,989",E
2012,EXP,GROUNDFISH COD NSPF FROZEN,COSTA RICA,245,"3,444",E
2012,EXP,GROUNDFISH COD NSPF FROZEN,ITALY,"259,826","940,485",E
2014,EXP,GROUNDFISH HADDOCK FILLET FROZEN,SAUDI ARABIA,"77,596","507,600",E
2013,EXP,GROUNDFISH COD NSPF MINCED FROZEN,CHINA,"110,838","164,000",E
2013,EXP,GROUNDFISH COD NSPF SALTED,CHINA,"261,633","470,938",E
