,,,,,,,
Year,Source,Product Name,Country Name,Volume (kg),Value (USD),Calculated Duty (USD),Edible code
2014,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"8,281","77,859",0,E
2014,IMP,GROUNDFISH HADDOCK FILLET FRESH,ICELAND,"334,352","4,129,814",0,E
2014,IMP,GROUNDFISH COD NSPF DRIED,ICELAND,"8,455","55,037",0,E
2014,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"479,718","1,393,184",0,E
2015,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,"168,388","1,881,204",0,E
2015,IMP,GROUNDFISH COD NSPF DRIED,NORWAY,567,"6,099",0,E
2011,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,NORWAY,"80,832","1,069,900",0,E
2015,IMP,GROUNDFISH COD NSPF FILLET FROZEN,ICELAND,"2,925,538","25,757,322",0,E
2015,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,ICELAND,"217,776","2,027,085",0,E
2011,IMP,GROUNDFISH HADDOCK FRESH,NORWAY,"74,827","289,561",0,E
2010,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"10,480","89,973",0,E
2010,IMP,GROUNDFISH COD NSPF FILLET DRIED/SALTED/BRINE > 6.8KG,ICELAND,"179,120","1,358,738",0,E
2010,IMP,GROUNDFISH COD ATLANTIC FILLET FROZEN,ICELAND,"14,580","105,214",0,E
2010,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"19,758","95,541",0,E
2010,IMP,GROUNDFISH COD NSPF FILLET FROZEN,NORWAY,"11,875","21,594",0,E
2010,IMP,GROUNDFISH HADDOCK FILLET FROZEN,NORWAY,"5,954","38,323",0,E
2010,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"57,100","307,172",0,E
2011,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"34,042","165,968",0,E
2011,IMP,GROUNDFISH HADDOCK FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"76,336","387,057",0,E
2011,IMP,GROUNDFISH COD ATLANTIC FILLET BLOCKS FROZEN > 4.5KG,NORWAY,"282,013","1,325,778",0,E
2013,IMP,GROUNDFISH COD NSPF FRESH,ICELAND,630,"3,963",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FROZEN,NORWAY,"177,533","433,433",0,E
2013,IMP,GROUNDFISH COD ATLANTIC FILLET FRESH,ICELAND,"87,114","975,466",0,E
2013,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"4,790","36,660",0,E
2013,IMP,GROUNDFISH COD NSPF FILLET FRESH,ICELAND,"73,625","826,030",0,E
