,,,
Year ,Port ,Millions of Pounds, Millions of Dollars 
2022,"Dutch Harbor, AK",613.5,159.9
2022,"Empire-Venice, LA",498.4,163.3
2022,"Aleutian Islands (Other), AK",443.4,144.4
2022,"Reedville, VA",325,52.3
2022,"Intracoastal City, LA",295.3,24.9
2022,"Kodiak, AK",285.4,139
2022,"Naknek, AK",234.5,298.5
2022,"Astoria, OR",150,41.9
2022,"Westport, WA",112.3,86.5
2022,"Port Hueneme-Oxnard-Ventura, CA",105.1,74.2
2022,"Newport, OR",99.7,47.7
2022,"Alaska Penninsula (Other), AK",91.7,91
2022,"New Bedford, MA",88.4,443.2
2022,"Sitka, AK",69.1,77.5
2022,"Cordova, AK",65.3,76.4
2022,"Cape May-Wildwood, NJ",65.2,40.4
2022,"Ketchikan, AK",54.1,46.2
2022,"Bristol Bay (Other), AK",40.3,54.7
2022,"Point Judith, RI",39.2,71.4
2022,"Los Angeles, CA",36.7,26.5
2022,"Petersburg, AK",36.6,36.7
2022,"Dulac-Chauvin, LA",36.2,59.4
2022,"Egegik, AK",35.3,47.2
2022,"Gloucester, MA",34.1,59.3
2022,"Bayou La Batre, AL",28.4,59.5
2022,"Atlantic City, NJ",26.8,23.2
2022,"Honolulu, HI",26.2,121.8
2022,"Seward, AK",18.4,41.1
2022,"Lafitte-Barataria, LA",17,23.9
2022,"Grand Isle, LA",17,23.9
2022,"Point Pleasant, NJ",16.9,29.2
2022,"Port Arthur, TX",16.5,40.4
2022,"Delacroix-Yscloskey, LA",16.3,46.3
2022,"Craig, AK",16,17.5
2022,"Palacios, TX",15.8,36.8
2022,"Juneau, AK",14.1,25.3
2022,"Provincetown-Chatham, MA",13.3,38.9
2022,"Galveston, TX",13.2,43.8
2022,"Kenai, AK",13,13.9
2022,"Boston, MA",13,19.1
2022,"Golden Meadow-Leeville, LA",12.7,22.1
2022,"Coos Bay-Charleston, OR",12.1,14.2
2022,"Brownsville-Port Isabel, TX",12,32
2022,"Stonington, ME",11.7,46.1
2022,"North Kingstown, RI",10.5,12
2022,"Key West, FL",10.2,66.3
2022,"Wanchese-Stumpy Point, NC",10,21
2022,"Montauk, NY",9.9,19.4
2022,"Portland, ME",9.8,21.3
2022,"Hampton Roads Area, VA",9.7,24.5
2022,"Friendship, ME",8.5,24.4
2022,"Bellingham, WA",7.6,22.9
2022,"Tampa Bay-St. Petersburg, FL",7.5,30.3
2022,"Eureka, CA",7.5,6.3
2022,"Vinalhaven, ME",7.4,30.7
2022,"Dillingham-Togiak, AK",7.4,9.3
2022,"Beals Island, ME",6.4,15.3
2022,"Port of Lake Charles, LA",6.2,9.9
2022,"Gulfport-Biloxi, MS",6.2,10.2
2022,"Spruce Head, ME",6,19
2022,"Fort Bragg, CA",6,7
2022,"Moss Landing, CA",5.8,4.7
2022,"Beaufort-Morehead City, NC",5.8,13.5
2022,"Yakutat, AK",5.4,17.7
2022,"Jonesport, ME",5.4,7.8
2022,"Portsmouth, NH",5.3,7.3
2022,"Morgan City-Berwick, LA",5,7.8
2022,"Slidell-Covington, LA",4.8,14
2022,"Orleans, LA",4.5,8.4
2022,"Newport, RI",4.5,7.8
2022,"Brookings, OR",4.5,4.3
2022,"Stonington, CT",4.3,8.1
2022,"Monterey, CA",4.3,3.5
2022,"Mayport, FL",4.3,10.4
2022,"Shelton, WA",4.2,18
2022,"Tenants Harbor, ME",4.1,8.2
2022,"Fort Myers, FL",4.1,14.8
2022,"Cape Canaveral, FL",4.1,8.7
2022,"Homer, AK",3.9,19
2022,"Long Beach-Barnegat, NJ",3.8,64.6
2022,"Iberia, LA",3.8,6.7
2022,"Engelhard-Swanquarter, NC",3.7,6.8
2022,"Boothbay Harbor, ME",3.7,9.4
2022,"Newington, NH",3.5,23.9
2022,"Little Compton, RI",3.5,3.1
2022,"Anchorage, AK",3.5,2.6
2022,"Willapa Bay, WA",3.3,12.7
2022,"Anacortes-La Conner, WA",3,17.1
2022,"Neah Bay, WA",2.9,7.3
2022,"Ilwaco-Chinook, WA",2.9,13.2
2022,"Winchester Bay, OR",2.8,5.2
2022,"Cameron, LA",2.8,5.6
2022,"Port Clyde, ME",2.7,7.1
2022,"Milbridge, ME",2.7,9.6
2022,"Accomac, VA",2.7,7.7
2022,"Southwest Harbor, ME",2.6,11.3
2022,"Hampton Bay-Shinnicock, NY",2.6,4.6
2022,"Cundys Harbor, ME",2.6,10.5
2022,"Santa Barbara, CA",2.5,13.6
2022,"Cape Charles-Oyster, VA",2.5,2.9
2022,"Upper Southeast (Other), AK",2.4,7
2022,"Ocean City, MD",2.4,3.8
2022,"Harrington, ME",2.4,9.6
2022,"Addison, ME",2.4,5.4
2022,"Stuben, ME",2.2,7.7
2022,"San Francisco Area, CA",2.2,11
2022,"Oriental-Vandemere, NC",2.2,4.9
2022,"Columbia, NC",2.2,2.4
2022,"South Bristol, ME",2.1,7.6
2022,"Princeton-Half Moon Bay, CA",2.1,10.2
2022,"Marshfield, MA",2.1,8.5
2022,"Cranberry Isles, ME",2.1,6.9
2022,"Bodega Bay, CA",2.1,8.5
2022,"Seattle, WA",2,6.1
2022,"Corea, ME",2,7.7
2022,"Winter Harbor, ME",1.9,6.9
2022,"Swans Island, ME",1.9,7.5
2022,"Owls Head, ME",1.9,7.7
2022,"Wrangell, AK",1.8,4.4
2022,"San Diego, CA",1.8,8.9
2022,"Sandwich, MA",1.7,5.2
2022,"Machiasport, ME",1.7,4.1
2022,"Chincoteague, VA",1.7,2.1
2022,"Belford, NJ",1.7,1.3
