"FishCode","FishDesc","Consigned","Sold","LowPrice","AvgPrice","HighPrice","MonthNum","YearNum"
"CADM","Cod | market","","5259","2.06","3.13","4.77","1","2023"
"CADS","Cod | scrod","","72","1.21","1.78","2.73","1","2023"
"HDDL","Haddock | large","","12909","1.88","2.32","2.89","1","2023"
"HDDP","Haddock | snapper","","474","0.98","1.68","2","1","2023"
"HDDS","Haddock | scrod","","28948","1.54","2.08","2.8","1","2023"
"CADM","Cod | market","","3305","1.63","2.3","4.12","2","2023"
"CADS","Cod | scrod","","6","0.9","1.02","1.13","2","2023"
"HDDL","Haddock | large","","18478","1.54","2.01","2.82","2","2023"
"HDDP","Haddock | snapper","","65","1","1.06","1.07","2","2023"
"HDDS","Haddock | scrod","","23443","1.34","1.65","2.27","2","2023"
"CADM","Cod | market","","16229","1.7","1.91","2.99","3","2023"
"CADS","Cod | scrod","","19","1.03","1.17","1.19","3","2023"
"HDDL","Haddock | large","","18158","1.47","1.95","2.25","3","2023"
"HDDP","Haddock | snapper","","193","0.89","0.97","1.04","3","2023"
"HDDS","Haddock | scrod","","29752","1.25","1.51","1.86","3","2023"
"CADM","Cod | market","","5202","1.5","1.99","2.55","4","2023"
"CADS","Cod | scrod","","351","0.99","1.14","1.4","4","2023"
"HDDL","Haddock | large","","11298","1.69","2.17","2.73","4","2023"
"HDDP","Haddock | snapper","","399","0.78","0.99","1.09","4","2023"
"HDDS","Haddock | scrod","","29835","1.36","1.54","2.39","4","2023"
"CADM","Cod | market","","1140","1.95","2.81","5.47","5","2023"
"CADS","Cod | scrod","","6","1.55","1.62","1.69","5","2023"
"HDDL","Haddock | large","","2245","2.59","2.99","4.67","5","2023"
"HDDP","Haddock | snapper","","119","1.11","1.11","1.12","5","2023"
"HDDS","Haddock | scrod","","3129","2.31","2.51","4.27","5","2023"
"CADM","Cod | market","","4542","2.19","2.56","2.75","6","2023"
"CADS","Cod | scrod","","31","1.49","1.68","1.7","6","2023"
"HDDL","Haddock | large","","6798","2.1","2.47","3.15","6","2023"
"HDDP","Haddock | snapper","","588","0.9","1.17","1.76","6","2023"
"HDDS","Haddock | scrod","","22329","1.62","2.04","2.81","6","2023"
"CADM","Cod | market","","1069","2.51","3.21","5.07","7","2023"
"CADS","Cod | scrod","","15","1.11","1.62","2.21","7","2023"
"HDDL","Haddock | large","","13368","2.25","2.88","4.97","7","2023"
"HDDP","Haddock | snapper","","523","1.39","1.58","1.91","7","2023"
"HDDS","Haddock | scrod","","14816","2.02","2.63","3.92","7","2023"
"CADM","Cod | market","","1196","2.08","3.5","5.72","8","2023"
"CADS","Cod | scrod","","27","1.69","1.7","1.76","8","2023"
"HDDL","Haddock | large","","11092","1.89","2.46","3.82","8","2023"
"HDDP","Haddock | snapper","","534","0.79","1.39","1.76","8","2023"
"HDDS","Haddock | scrod","","20984","1.53","2.23","2.97","8","2023"
"CADM","Cod | market","","1396","2.01","3.19","5.32","9","2023"
"CADS","Cod | scrod","","78","1.49","1.64","1.82","9","2023"
"HDDL","Haddock | large","","7849","1.78","2.45","3.12","9","2023"
"HDDP","Haddock | snapper","","357","0.9","1.13","1.33","9","2023"
"HDDS","Haddock | scrod","","18825","1.6","1.99","3.09","9","2023"
"CADM","Cod | market","","3659","1.51","2.32","3.77","10","2023"
"CADS","Cod | scrod","","40","1.03","1.15","1.65","10","2023"
"HDDL","Haddock | large","","8047","1.32","2","3.01","10","2023"
"HDDP","Haddock | snapper","","113","0.95","1.25","1.32","10","2023"
"HDDS","Haddock | scrod","","15323","1.1","1.73","3","10","2023"
"CADM","Cod | market","","2327","2.02","2.62","4.22","11","2023"
"CADS","Cod | scrod","","9","1.53","1.59","1.71","11","2023"
"HDDL","Haddock | large","","5779","1.38","1.97","2.95","11","2023"
"HDDP","Haddock | snapper","","2","1.19","1.19","1.19","11","2023"
"HDDS","Haddock | scrod","","10520","1.08","1.58","2","11","2023"
"CADM","Cod | market","","3552","2.5","2.98","4.67","12","2023"
"CADS","Cod | scrod","","41","1.56","1.72","1.94","12","2023"
"HDDL","Haddock | large","","10121","1.71","2.84","4.92","12","2023"
"HDDP","Haddock | snapper","","273","1.25","1.27","1.29","12","2023"
"HDDS","Haddock | scrod","","23789","1.19","2.02","3.77","12","2023"
"CADM","Cod | market","","1923","2.48","3.14","3.67","1","2022"
"CADS","Cod | scrod","","6","1.93","2.12","2.3","1","2022"
"HDDL","Haddock | large","","3239","1.6","2.18","3.18","1","2022"
"HDDP","Haddock | snapper","","64","1.1","1.14","1.35","1","2022"
"HDDS","Haddock | scrod","","7484","1.23","1.94","2.95","1","2022"
"CADM","Cod | market","","534","2.31","2.75","3.52","2","2022"
"HDDL","Haddock | large","","3400","1.75","2.18","2.85","2","2022"
"HDDP","Haddock | snapper","","182","0.98","2.21","2.24","2","2022"
"HDDS","Haddock | scrod","","3617","1.45","2.66","3.42","2","2022"
"CADM","Cod | market","","5286","1.84","2.01","3.09","3","2022"
"CADS","Cod | scrod","","57","1.63","1.63","1.63","3","2022"
"HDDL","Haddock | large","","3071","2.29","2.64","3.13","3","2022"
"HDDP","Haddock | snapper","","286","0.94","0.97","1.38","3","2022"
"HDDS","Haddock | scrod","","10545","1.69","2.31","2.49","3","2022"
"CADM","Cod | market","","682","2","2.86","3.09","4","2022"
"CADS","Cod | scrod","","4","1.5","1.5","1.5","4","2022"
"HDDL","Haddock | large","","424","2.9","3.1","3.87","4","2022"
"HDDP","Haddock | snapper","","15","1.2","1.2","1.2","4","2022"
"HDDS","Haddock | scrod","","887","2.05","2.8","2.97","4","2022"
"CADM","Cod | market","","39","2.96","2.96","2.96","5","2022"
"HDDL","Haddock | large","","95","2.02","2.67","2.8","5","2022"
"HDDS","Haddock | scrod","","210","1.72","2.04","2.07","5","2022"
"CADM","Cod | market","","2153","2.7","3.16","3.42","6","2022"
"CADS","Cod | scrod","","11","2.37","2.37","2.37","6","2022"
"HDDL","Haddock | large","","104","2.16","2.55","3.37","6","2022"
"HDDS","Haddock | scrod","","194","1.84","1.94","2.47","6","2022"
"CADM","Cod | market","","1354","2.49","3.59","5.42","7","2022"
"HDDL","Haddock | large","","5524","1.91","2.38","3.27","7","2022"
"HDDS","Haddock | scrod","","7411","1.8","2.04","3.32","7","2022"
"CADM","Cod | market","","1356","3.14","3.71","4.91","8","2022"
"CADS","Cod | scrod","","2","2.13","2.13","2.13","8","2022"
"HDDL","Haddock | large","","11669","1.4","2.39","3.67","8","2022"
"HDDP","Haddock | snapper","","166","0.96","1.45","1.84","8","2022"
"HDDS","Haddock | scrod","","19914","1.75","2.5","3.18","8","2022"
"CADM","Cod | market","","1469","2.89","3.97","5.26","9","2022"
"CADS","Cod | scrod","","21","1.99","2.4","2.55","9","2022"
"HDDL","Haddock | large","","4878","2.76","3.2","4.97","9","2022"
"HDDP","Haddock | snapper","","145","0.97","1.23","1.39","9","2022"
"HDDS","Haddock | scrod","","13191","2.08","2.93","4.02","9","2022"
"CADM","Cod | market","","1818","2.52","3.57","4.37","10","2022"
"CADS","Cod | scrod","","11","1.89","1.96","1.99","10","2022"
"HDDL","Haddock | large","","8671","2.2","2.7","3.92","10","2022"
"HDDP","Haddock | snapper","","393","0.79","1.14","1.69","10","2022"
"HDDS","Haddock | scrod","","22071","2.01","2.63","3.62","10","2022"
"CADM","Cod | market","","1348","2","3.4","4.86","11","2022"
"CADS","Cod | scrod","","3","0.71","0.71","0.71","11","2022"
"HDDL","Haddock | large","","5651","1.92","2.65","4.02","11","2022"
"HDDP","Haddock | snapper","","181","0.8","1.22","1.45","11","2022"
"HDDS","Haddock | scrod","","12707","1.84","2.33","3.03","11","2022"
"CADM","Cod | market","","4370","2.7","4.44","8.27","12","2022"
"CADS","Cod | scrod","","78","1.69","2.31","3.17","12","2022"
"HDDL","Haddock | large","","8136","2.29","3.29","7.17","12","2022"
"HDDP","Haddock | snapper","","127","0.86","1.45","3.37","12","2022"
"HDDS","Haddock | scrod","","13372","1.85","2.8","5.02","12","2022"
"CADM","Cod | market","","1655","2.49","3.99","4.92","1","2021"
"CADS","Cod | scrod","","15","2.11","2.11","2.11","1","2021"
